Период;Подразделение;Группа;СтатьяPL;Тип;Авто;СуммаPL;СуммаАДР;Разница;Δ_%;Статус
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);МШП;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Строительные материалы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Ремонты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Прочие производственные затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Командировочные производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Аренда квартиры с коммунальными платежами;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Транспортные затраты производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Разрешительная документация;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Себестоимость проданой продукции (переменные производственные затраты);Представительские затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Дополнительные  расходы;Расход от ивест. Деятельности (ОС);Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Общепроизводственные затраты;Благоустройство офиса;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Общепроизводственные затраты;Хозтовары и материалы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Общепроизводственные затраты;ИТ расходы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Общепроизводственные затраты;Питьевая вода;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Общепроизводственные затраты;Охрана офиса и пожарная сигнализация;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Общепроизводственные затраты;Курьерские и почтовые;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Общепроизводственные затраты;Канцтовары;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Маркетинговые затраты;Реклама;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Маркетинговые затраты;Прочие маркетинговые затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;ЗП управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Начисления на управленчискую зарплату;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Удержание с зарплаты управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;ЗП РМ;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Удержание с зарплаты РМ;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Начисления на зарплату PM;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Премия управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Телекомуникационные услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Транспортные затраты управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Аренда офиса с коммунальными платежами;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Затраты на коммандировки управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Юридические услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Услуги банков;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Затраты на обучение персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Затраты по корпоративной культуре;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Налоги и сборы;НДС/ Прочие налоги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Финансовая деятельность;Финансовый доход;Доход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Финансовая деятельность;Финансовые расходы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Финансовая деятельность;Затраты на налог на прибыль;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Финансовая деятельность;Дивиденды;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Экспедирование;Административные затраты;Штраф;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Операционный доход;Выручка от продаж (товаров, работ, услуг);Доход;;65730.59;0.00;65730.59;100.00;DATA_GAP
2025-12;Крушинка;Операционный доход;Доход от прочей операционной деятельности;Доход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);ЗП производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Зарплата ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату ИТР;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);ЗП подсобников;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Оплата за выполненные работы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Премия производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Услуги сторонних организаций;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Аренда строительного оборудования;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Аренда опалубки;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Арена техники;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Аренда сторонней техники;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Аренда вагончика;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Логистические затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);МШП;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Строительные материалы;Расход;;41981.26;0.00;41981.26;100.00;DATA_GAP
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Ремонты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Прочие производственные затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Командировочные производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Аренда квартиры с коммунальными платежами;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Транспортные затраты производственного персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Разрешительная документация;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Себестоимость проданой продукции (переменные производственные затраты);Представительские затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Дополнительные  расходы;Расход от ивест. Деятельности (ОС);Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Общепроизводственные затраты;Благоустройство офиса;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Общепроизводственные затраты;Хозтовары и материалы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Общепроизводственные затраты;ИТ расходы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Общепроизводственные затраты;Питьевая вода;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Общепроизводственные затраты;Охрана офиса и пожарная сигнализация;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Общепроизводственные затраты;Курьерские и почтовые;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Общепроизводственные затраты;Канцтовары;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Маркетинговые затраты;Реклама;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Маркетинговые затраты;Прочие маркетинговые затраты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;ЗП управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Начисления на управленчискую зарплату;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Удержание с зарплаты управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;ЗП РМ;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Удержание с зарплаты РМ;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Начисления на зарплату PM;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Премия управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Телекомуникационные услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Транспортные затраты управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Аренда офиса с коммунальными платежами;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Затраты на коммандировки управленческого персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Юридические услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Услуги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Услуги банков;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Затраты на обучение персонала;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Затраты по корпоративной культуре;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Налоги и сборы;НДС/ Прочие налоги;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Финансовая деятельность;Финансовый доход;Доход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Финансовая деятельность;Финансовые расходы;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Финансовая деятельность;Затраты на налог на прибыль;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Финансовая деятельность;Дивиденды;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Крушинка;Административные затраты;Штраф/ мат помощь;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Глобино-2;Операционный доход;Выручка от продаж (товаров, работ, услуг);Доход;;27723165.65;59962615.01;-32239449.36;-53.77;DATA_GAP
2025-12;Глобино-2;Операционный доход;Доход от прочей операционной деятельности;Доход;;44231972.36;0.00;44231972.36;100.00;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);ЗП производственного персонала;Расход;;199686.15;169696.15;29990.00;17.67;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты производственного персонала;Расход;;53292.72;53292.72;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату производственного персонала;Расход;;50975.63;50975.63;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Зарплата ИТР;Расход;;553831.85;555435.49;-1603.64;-0.29;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Удержание с зарплаты ИТР;Расход;;63598.26;63598.26;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Начисления на зарплату ИТР;Расход;;60283.12;60283.12;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);ЗП подсобников;Расход;;216900.00;216900.00;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Оплата за выполненные работы;Расход;;2474358.08;2837080.67;-362722.59;-12.79;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Премия производственного персонала;Расход;;380000.00;0.00;380000.00;100.00;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Услуги сторонних организаций;Расход;;3081465.53;2642288.63;439176.90;16.62;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Аренда строительного оборудования;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Аренда опалубки;Расход;;0.00;72746.15;-72746.15;-100.00;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Арена техники;Расход;;1452633.41;1798883.41;-346250.00;-19.25;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Аренда сторонней техники;Расход;;3497610.60;2523995.83;973614.77;38.57;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Аренда вагончика;Расход;;37280.00;36000.00;1280.00;3.56;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Логистические затраты;Расход;;179796.50;29278.14;150518.36;514.10;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);МШП;Расход;;376511.20;313328.45;63182.75;20.17;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Строительные материалы;Расход;;48308451.25;9937084.97;38371366.28;386.14;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Ремонты;Расход;;0.00;0.00;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Прочие производственные затраты;Расход;;18231.78;1000.01;17231.77;1723.16;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Командировочные производственного персонала;Расход;;34200.00;0.00;34200.00;100.00;DATA_GAP
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Аренда квартиры с коммунальными платежами;Расход;;182155.71;182155.71;0.00;0.00;OK
2025-12;Глобино-2;Себестоимость проданой продукции (переменные производственные затраты);Транспортные затраты производственного персонала;Расход;;22900.52;0.00;22900.52;100.00;DATA_GAP
